# SIMBAD TAP cross-IDs fetched 2026-08-09
# unresolved: ['D564-8', 'D631-7', 'KK98-251']
# tap-errors: none
sparc_name,alias
UGC06446,SDSS J112640.45+534448.0
UGC06446,Gaia DR2 839868523882652032
UGC07151,2MFGC 9564
UGC07151,IRAS F12074+4644
UGC07151,IRAS 12074+4644
UGC07151,ISOSS J12099+4627
UGC07151,LEDA   38688
UGC07151,MCG+08-22-077
UGC07151,NGC  4144
UGC07151,UGC  7151
UGC07151,Z 243-48
UGC07151,[SLK2004] 660
UGC07151,2MASX J12095860+4627258
UGC07151,UZC J120959.3+462728
UGC07151,Z 1207.4+4643
UGC07151,[CHM2007] LDC  867 J120958.60+4627258
UGC07151,[CHM2007] HDC  706 J120958.60+4627258
UGC07151,[M98c] 120728.3+464407
UGC07151,PSCz Q12074+4644
UGC07151,SDSS J120958.41+462726.6
UGC07232,SDSS J121344.76+363802.4
UGC07232,2MFGC 9626
UGC07232,2MASX J12134415+3637525
UGC07232,2MASXI J1213447+363802
UGC07232,2E  2617
UGC07232,BTS 102
UGC07232,IRAS F12112+3654
UGC07232,KUG 1211+369
UGC07232,LEDA   39023
UGC07232,MCG+06-27-030
UGC07232,NGC  4190
UGC07232,TC 197
UGC07232,UGC  7232
UGC07232,VV  104
UGC07232,Z 187-24
UGC07232,[ATZ98] D080
UGC07232,[MI94] Im  90
UGC07232,LCSB L499
UGC07232,1E 1211.2+3654
UGC07232,1RXS J121345.2+363754
UGC07232,2E 1211.2+3654
UGC07232,RX J1213.7+3637
