source_id,ruwe,non_single_star,radial_velocity,radial_velocity_error,rv_nb_transits,rv_renormalised_gof,rv_chisq_pvalue,rv_amplitude_robust,rv_template_teff,phot_g_mean_mag
515519740524517120,1.0725312,0,14.6777,1.5691797,27,,,,4250.0,13.690169
541208695829591040,1.2413346,0,-10.282163,0.31417075,35,2.3398564,6.5370614E-4,6.1560864,5500.0,10.384849
558098087782303104,1.1067761,0,-49.369286,1.4011524,21,,,,4500.0,13.469823
22490853943543936,1.1444383,0,12.061616,1.5100262,9,3.1977005,7.1859756E-4,10.829834,5750.0,10.743056
130938267066740864,2.00938,0,-1.0733598,1.3806306,8,0.28412855,0.49974492,9.749278,3400.0,13.27735
304636915000059520,1.1316657,0,3.6610165,1.1545295,12,0.43185982,0.6773157,9.771975,3800.0,13.320822
314031206772969472,1.1227024,0,-6.988138,0.5364889,19,2.0092146,0.01447062,7.1981654,5250.0,11.675261
372255707582908032,1.110907,0,-5.52691,4.26906,12,,,,3600.0,15.281327
379806333104005760,1.1507691,0,-5.451227,0.8726735,44,2.897978,0.57144016,15.729298,3700.0,13.415619
64319196846180608,1.0592878,0,-13.221751,1.1470014,7,1.1474282,0.08678976,7.9804974,5000.0,11.519369
590936273855212416,0.94142,0,3.2426057,0.2927746,19,-0.509713,0.5506299,4.0601406,5000.0,11.110361
622576576370678528,1.0836309,0,10.771283,4.0218425,13,,,,3600.0,14.364985
626941427079604480,0.92117345,0,8.478381,0.72324055,10,-0.54545265,0.695063,5.132762,4750.0,12.082772
626941431374359168,1.0197396,0,9.194023,1.4905701,9,2.2257879,0.01772307,9.182241,4500.0,12.353112
208739469333705984,1.0676247,0,,,,,,,,15.951826
210974806536375424,1.036787,0,2.7521858,0.5611873,26,1.8939832,0.02775486,8.995009,4500.0,12.179093
254642533606567168,1.0004206,0,-18.38654,1.3389034,13,2.3531659,0.024009448,15.397914,4250.0,12.479766
281230923786814464,1.1285706,0,18.902002,0.3841996,37,-0.14099641,0.890085,6.310666,4250.0,11.9471
415194660304697088,1.2652235,0,-2.769836,0.50500935,28,0.39822274,0.25369778,8.600931,5250.0,11.685484
425753618364996608,1.046251,0,-26.851559,5.1746025,29,,,,3600.0,13.820914
429505152045646208,1.040399,0,-5.0411386,3.1338942,18,,,,3900.0,14.412191
433710474771804800,1.3683484,0,-8.871786,0.27524072,17,-1.0693095,0.83686006,3.3376741,4000.0,11.24742
458265386927749632,0.95452434,0,-15.437736,0.25116003,19,-0.6688352,0.669843,2.8338823,6000.0,10.392392
465303219119652864,1.3065727,0,-51.142647,0.55520415,19,-0.37262073,0.58907104,8.104626,5000.0,11.72704
466294295706341760,0.99605733,0,-2.4418578,0.11854931,39,-0.058350537,0.14959423,0.6891775,5750.0,6.483679
481338432272355840,1.111244,0,30.211987,1.2152383,32,,,,4500.0,13.320056
525177330960908672,0.8426302,0,-46.00418,0.76877695,20,0.40755805,0.26120368,11.0925255,4750.0,12.113998
544438236356823680,1.1244425,0,3.8520622,0.36054114,25,-0.46034437,0.51154345,6.0335193,4750.0,11.478545
561794096120038784,1.0141624,0,,,,,,,,15.910133
83757054888158720,1.190236,0,23.963867,5.0222616,13,,,,3800.0,14.678279
87111458705996800,0.96395767,0,-9.080272,0.6407356,9,0.19944122,0.41776487,5.4547415,5000.0,10.923105
134853250020189440,1.167573,0,2.1511908,0.16122179,14,-0.13220108,0.2722771,1.0657146,6250.0,8.365929
308936280342441728,1.0609547,0,-51.76758,1.4863738,17,1.4160004,0.12992848,22.399979,4000.0,13.096244
328755527190287616,0.8811087,0,2.7612493,0.2935,11,0.58715034,0.15175833,2.6441689,5750.0,9.793943
368613231718631296,4.094425,0,5.375952,2.3761039,15,,,,3400.0,14.308069
379806333104005376,1.07967,0,,,,,,,,16.545006
158106714058192256,0.9074707,0,44.053856,0.88408655,17,0.06510609,0.52279997,10.032505,4250.0,12.934907
620743656127286528,1.054992,0,29.291037,2.7015781,28,,,,3900.0,14.271352
630692788954450688,0.8637291,0,11.08443,0.2621307,9,1.0244195,0.07374013,1.6205225,5750.0,9.628762
652239441584849280,1.0011172,0,96.93948,0.4529994,21,-1.4991567,0.9653345,6.683708,4000.0,12.448022
210975940407741312,1.253731,0,2.862997,0.28708574,24,-0.114877686,0.4122932,4.242098,5250.0,11.061008
235724886291425280,0.9079559,0,32.5966,0.1591554,3,-1.4330161,0.92275476,0.30952454,6750.0,8.654913
245017374457491584,0.9492754,0,25.503578,0.601327,23,0.8934439,0.11656301,10.271276,4750.0,11.796
262168896854271872,1.0649974,0,-16.44656,5.30104,7,,,,3400.0,14.798462
405143341614128384,1.0949937,0,,,,,,,,15.82346
418608575189156224,1.00487,0,-8.765111,1.2283585,24,2.9400997,9.5932715E-4,24.317545,4500.0,13.063809
422990648724458112,0.9298943,0,-8.8772135,1.3035706,26,,,,4500.0,13.179094
425753584005267712,1.0851182,0,-15.502343,3.2421358,30,,,,3800.0,14.592018
426746305567596544,1.0122263,0,-6.8988104,1.2922328,20,,,,4500.0,13.134263
465303223412228608,0.82037824,0,-51.1513,1.0230029,19,3.4204912,0.0028631336,13.769535,5000.0,12.294224
491391095286240768,0.9353156,0,-58.01967,0.19288073,12,0.046719246,0.23922321,1.3848381,5500.0,9.293292
492444152546801024,1.0722206,0,-0.4658969,0.38662374,38,-0.042917587,0.33138877,7.705711,4750.0,12.031105
496355252845354880,0.9973125,0,15.097609,2.0123966,34,,,,4000.0,14.482937
519447092977136896,1.0347253,0,-61.2849,2.0623882,23,,,,3900.0,14.255451
